,SPX Equity,NVDA US Equity,AMD US Equity,IGLN LN Equity,MINE LN Equity,CBUK GY Equity,FXAC NA Equity,2899 HK Equity,AAPL US Equity,LLY US Equity,JNJ US Equity,PFE US Equity,OGN US Equity,3750 HK Equity,META US Equity,GOOGL US Equity,AIR FP Equity,BA US Equity,RR/ LN Equity,BA/ LN Equity,MDT US Equity,EMB US Equity,CBU0 LN Equity,PG US Equity,AMZN US Equity,NEXT US Equity,SO US Equity,JEMA LN Equity,EMIRATES UH Equity,KO US Equity,CON GR Equity,NFLX US Equity,SBUX US Equity,JGB1X SW Equity,USDCNY Equity,USDJPY Equity,USDHKD Equity,GBPUSD Equity,EURUSD Equity
,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
2013-10-09,2916.147,0.3805,3.65,25.8575,,,,1.79,17.3781,47.96,85.96,26.8175,,,46.77,21.417,47.935,114.47,371.308,440.0,53.06,109.37,125.39,76.95,14.912,,41.27,546.0,5.287,37.08,85.823,41.204,37.63,,6.1199,97.34,7.7545,1.5954,1.3524
2013-10-10,3025.036,0.3846,3.79,25.8513,,,,1.79,17.4871,49.15,87.78,27.2725,,,49.05,21.727,48.3,118.9,382.632,450.7,54.27,109.55,124.74,77.89,15.259,,41.57,548.0,5.277,37.78,88.269,43.428,38.56,,6.1195,98.16,7.7548,1.5968,1.352
2013-10-11,3018.814,0.3815,3.83,25.2038,,,,1.77,17.6004,48.88,89.45,27.2251,,,49.11,21.821,48.77,117.98,384.348,436.3,54.99,109.82,125.36,78.48,15.544,,41.69,552.25,,37.77,89.559,42.978,38.91,,6.1185,98.58,7.7541,1.5957,1.3544
2013-10-14,3007.407,0.3873,3.97,25.4338,,,,,17.7157,49.03,89.8,27.8223,,,49.51,21.924,48.92,119.46,386.064,443.8,55.19,109.95,125.23,78.74,15.535,,41.35,547.0,,37.91,89.359,46.337,39.05,,6.1087,98.57,7.7546,1.5983,1.3561
2013-10-15,3027.11,0.3853,4.02,25.1925,,,,1.78,17.81,48.81,89.93,27.6422,,,49.5,22.072,48.54,118.18,382.632,439.2,54.58,109.91,124.76,77.6,15.32,,40.85,547.5,,37.66,90.168,45.956,38.355,,6.1026,98.16,7.7547,1.5998,1.3524
2013-10-16,3005.332,0.39,4.09,25.315,,,,1.78,17.8969,48.91,91.11,28.2489,,,51.135,22.473,48.315,120.34,378.171,443.3,55.48,110.45,124.765,78.34,15.525,,41.28,550.0,,38.0,90.428,46.125,39.02,,6.1037,98.77,7.7547,1.5951,1.3534
2013-10-17,3004.295,0.3908,4.09,26.2163,,,,1.78,18.0179,49.7,91.97,28.6849,,,52.21,22.241,48.465,122.29,376.455,445.2,56.32,111.38,125.97,79.42,15.539,,41.91,545.5,,38.55,90.863,47.157,39.3675,,6.097,97.91,7.7541,1.6165,1.3675
2013-10-18,3089.332,0.3953,3.53,26.1238,,,,1.83,18.1746,49.56,91.63,28.9219,,,54.22,25.31,48.96,122.52,374.739,444.9,56.59,111.45,126.09,79.41,16.447,,41.94,554.0,,38.78,91.03,47.643,39.655,,6.0972,97.72,7.7531,1.6167,1.3687
2013-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.431,,,,,,,,,,
2013-10-21,3110.073,0.3963,3.37,26.135,,,,1.83,18.6201,49.65,91.2,28.8176,,,53.85,25.107,48.025,121.47,385.378,453.9,56.49,111.22,125.88,78.97,16.322,,41.76,553.0,5.383,38.82,91.197,50.713,39.73,,6.0925,98.19,7.7524,1.6147,1.3681
2013-10-22,3106.962,0.3943,3.18,26.6488,,,,1.81,18.5667,50.15,92.36,29.0831,,,52.675,25.199,47.69,122.48,390.182,456.2,56.73,111.44,126.685,80.38,16.627,,42.28,560.0,5.383,39.09,91.798,46.075,40.45,,6.0927,98.14,7.7526,1.6236,1.3781
2013-10-23,3084.147,0.3875,3.14,26.545,,,,1.79,18.7486,50.31,92.1,29.0072,,,51.9,25.81,47.3,129.02,392.584,450.7,57.65,111.762,127.17,80.91,16.338,,42.29,552.0,5.469,39.09,91.03,47.177,40.025,,6.084,97.38,7.7532,1.6164,1.3776
2013-10-24,3071.703,0.3846,3.23,26.79,,,,1.78,18.9968,50.55,92.35,29.0167,,,52.445,25.664,48.4,128.98,402.879,454.4,57.5,111.66,126.885,80.61,16.611,,42.01,550.75,5.431,38.8,91.832,47.317,39.525,,6.0819,97.28,7.7543,1.6202,1.3801
2013-10-25,3015.703,0.381,3.34,26.81,,,,1.8,18.7842,50.66,92.09,29.0167,,,51.95,25.405,49.04,131.19,401.85,451.7,57.36,111.65,126.915,80.0,18.17,,42.46,555.5,,39.03,91.063,46.862,39.98,,6.0835,97.42,7.7537,1.6165,1.3802
2013-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.383,,,,,,,,,,
2013-10-28,3047.851,0.3803,3.32,26.8813,,,,1.8,18.9241,50.88,92.39,29.14,,,50.229,25.4,48.64,129.88,397.732,447.7,57.65,111.72,126.875,81.3,17.908,,42.44,559.0,5.239,39.61,88.757,44.857,39.355,,6.0854,97.68,7.7534,1.6142,1.3785
